Stats File,reachability_analysis_stats_c_basic-forward,reachability_analysis_stats_c_introspector,reachability_analysis_stats_joern_callgraph,reachability_analysis_stats_joern_func-reachableBy,reachability_analysis_stats_joern_line-reachableBy,reachability_analysis_stats_joern_backward
asc-nginx_cpv-10,O,O,X,X,X,X
asc-nginx_cpv-11,X,O,X,X,X,X
asc-nginx_cpv-12,O,O,X,X,X,X
asc-nginx_cpv-13,O,O,X,X,X,X
asc-nginx_cpv-14,O,O,X,X,X,X
asc-nginx_cpv-15,O,O,X,ERR,ERR,X
asc-nginx_cpv-17,O,O,X,X,X,X
asc-nginx_cpv-1,O,O,X,X,X,X
asc-nginx_cpv-2,O,O,X,X,X,X
asc-nginx_cpv-3,O,O,O,X,X,X
asc-nginx_cpv-4,O,O,O,X,X,X
asc-nginx_cpv-5,X,O,X,X,X,X
asc-nginx_cpv-8,O,O,X,X,X,X
asc-nginx_cpv-9,O,O,X,X,X,X
babynginx_cpv-0,X,X,O,X,X,X
babynote_cpv-0,O,O,O,X,X,O
concolic-test_cpv-0,O,O,O,X,X,O
concolic-test_cpv-1,O,O,O,X,X,O
itoa_cpv-0,ERR,X,O,X,X,O
itoa_cpv-1,ERR,X,O,X,X,O
libcue_cpv-0,O,O,X,X,X,X
mock-c_cpv-0,ERR,O,O,O,O,O
mock-c_cpv-1,ERR,O,O,O,O,O
mock-cp_cpv-1,O,O,O,X,X,O
mock-cp_cpv-2,O,O,O,X,X,O
mock-cpp_cpv-0,X,X,X,ERR,ERR,X
mock-cpp_cpv-1,X,X,X,ERR,ERR,X
rpn-calculator_cpv-0,O,O,O,X,X,O
rpn-calculator_cpv-1,O,O,O,ERR,ERR,O
user-nginx_cpv-0,ERR,O,X,X,X,X
user-nginx_cpv-2,ERR,O,X,X,X,X
user-nginx_cpv-3,ERR,O,X,X,X,X
user-nginx_cpv-4,ERR,O,X,X,X,X
user-nginx_cpv-5,ERR,O,O,X,X,X
user-nginx_cpv-6,ERR,O,O,X,X,X
user-nginx_cpv-7,ERR,O,O,X,X,X
user-nginx_cpv-8,ERR,O,X,X,X,X
